cod_ibge,pop_total,pop_urbana_pct,perc_jovens_15_29,renda_per_capita,taxa_desemprego,taxa_analfabetismo_15,perc_esgoto_adequado,gini,idhm,idhm_renda,idhm_longevidade,idhm_educacao,perc_pobres,pib_per_capita,densidade_demografica,taxa_homicidios,alta_violencia
5007406,19818.0,85.165,20.441,1598.28,3.4279,7.54,12.7325,0.46,0.673,0.686,0.852,0.521,8.7,30374.306186295285,2.4242842379688567,30.275507114744173,1
5007505,5199.0,69.0517,21.3887,1211.98,1.1369,9.23,2.5899,0.48,0.651,0.676,0.83,0.491,10.99,44617.041738795924,3.984656123180214,38.468936333910364,1
5007554,7027.0,51.7717,20.9335,1223.61,1.3902,8.11,32.9753,0.44,0.642,0.655,0.8,0.505,11.13,66469.33257435606,1.1440896867323858,0.0,0
5007695,29579.0,91.5447,22.6613,2084.65,2.0615,4.9,82.09,0.54,0.729,0.751,0.85,0.608,4.91,73891.74752358093,7.681512379391244,16.90388451266101,1
5007703,10994.0,80.5166,22.3395,1282.59,2.9499,13.44,0.7906,0.54,0.614,0.66,0.778,0.45,22.79,38037.92977987994,13.101867796743482,36.383481899217756,1
5007802,8142.0,76.6151,21.1496,1247.44,1.8153,6.43,1.5303,0.44,0.682,0.668,0.825,0.576,12.62,211426.1852124785,2.5014462734380016,12.281994595922377,1
5007901,47118.0,68.8399,22.5031,1236.58,3.5994,6.48,19.8634,0.57,0.686,0.694,0.829,0.561,17.19,70624.729402776,8.948106565230232,36.079629865444204,1
5007935,14516.0,91.4646,23.7738,1487.62,2.6143,8.99,1.7363,0.5,0.681,0.706,0.803,0.557,8.35,70560.82942959493,3.4681290977369237,20.666850372003307,1
5007950,10808.0,35.4182,25.4349,727.9,1.771,15.46,40.0679,0.6,0.593,0.615,0.782,0.434,34.36,28963.26794966691,6.057593093178089,64.76683937823834,1
5007976,3625.0,75.5586,19.7517,1326.37,5.4983,11.64,2.0334,0.42,0.651,0.657,0.769,0.545,13.88,50017.379310344826,3.445057743919592,27.586206896551726,1
5008008,17652.0,55.3988,19.216,1302.89,5.1933,9.29,20.611,0.5,0.658,0.651,0.839,0.521,17.75,40656.8660774983,6.203145640034116,16.995241332426918,1
5008305,132152.0,96.3534,22.7829,1674.66,3.4007,3.73,80.7767,0.51,0.744,0.752,0.849,0.645,4.85,88570.30540589624,12.934431012567105,16.647496821841518,1
5008404,6336.0,77.6673,19.2077,1429.37,4.0185,9.9,6.6081,0.46,0.711,0.689,0.835,0.626,7.56,58683.080808080806,20.94254681994566,0.0,0
5100102,5014.0,59.6131,17.4112,1231.13,0.9683,9.92,1.5376,0.5,0.628,0.594,0.816,0.51,28.54,21767.052253689668,5.893533216653757,19.94415636218588,1
5100201,29219.0,83.9283,24.7134,2215.9,1.4704,4.2,7.9667,0.49,0.729,0.723,0.829,0.646,7.38,68466.92220815223,3.870420971034696,6.844861220438756,0
5100250,58613.0,87.7143,23.8838,1840.57,1.544,5.87,31.8282,0.48,0.714,0.709,0.817,0.629,5.77,36026.649378124304,6.544982306784391,13.648849231399177,1
5100300,17193.0,87.7276,21.2587,1828.79,6.5733,7.23,15.9542,0.47,0.704,0.712,0.802,0.612,9.48,68214.62222997732,3.2332784141759503,17.448961786773687,1
5100359,5715.0,67.1916,25.5643,1237.65,0.5811,7.64,1.399,0.57,0.651,0.613,0.803,0.561,35.68,46194.22572178478,2.541791680713605,0.0,0
5100409,13052.0,92.6371,23.3144,1517.96,1.7408,5.94,1.9856,0.46,0.701,0.707,0.835,0.583,7.7,91753.90744713454,3.383486811219219,22.984983144345694,1
5100508,8009.0,66.9122,19.3158,1030.35,1.1652,9.43,19.2639,0.47,0.638,0.612,0.784,0.541,24.55,20802.846797352977,4.335389968571264,99.8876264202772,1
5100607,10904.0,94.369,24.9725,1946.75,5.0745,4.87,1.814,0.46,0.705,0.736,0.833,0.571,4.3,118828.87013939838,7.167191301038467,18.34189288334556,1
5100805,8590.0,72.7707,24.8196,1635.19,3.6266,10.78,0.8906,0.46,0.675,0.666,0.809,0.57,12.73,27216.53084982538,0.41924886222008423,23.28288707799767,1
5101001,3795.0,66.9038,19.1831,1425.49,2.3268,7.58,0.2745,0.43,0.687,0.671,0.817,0.591,9.57,33349.407114624504,0.5947623301518642,26.350461133069828,1
5101209,1010.0,85.3465,16.4356,1663.95,2.3166,10.09,3.9216,0.4,0.701,0.65,0.844,0.627,9.69,27747.52475247525,1.4957844056330352,0.0,0
5101258,14786.0,84.8167,22.1561,1379.75,1.5927,8.18,23.3176,0.5,0.725,0.704,0.826,0.655,9.03,44303.12457730286,9.017321722499943,40.578926011091575,1
5101308,10576.0,93.4002,21.8041,1649.73,2.8449,8.93,5.5876,0.46,0.704,0.677,0.793,0.649,11.2,21956.883509833584,25.341630385036552,47.276853252647506,1
5101407,24626.0,73.8813,25.8629,1863.42,0.9898,5.67,4.4339,0.56,0.675,0.682,0.816,0.553,19.96,58717.940388207586,0.9978874011346482,97.45797124989848,1
