cod_ibge,pop_total,pop_urbana_pct,perc_jovens_15_29,renda_per_capita,taxa_desemprego,taxa_analfabetismo_15,perc_esgoto_adequado
1505551,6931.0,61.16,22.5076,882.09,7.0228,15.76,1.2584
1505601,8285.0,60.1811,22.0036,756.62,2.8243,16.17,0.7126
1505635,12832.0,41.4433,24.4155,864.32,3.7267,13.24,0.4175
1505650,18668.0,43.1755,25.766,793.04,6.7166,8.89,0.1872
1505700,24984.0,52.0413,26.9372,574.17,10.9718,10.53,9.3309
1505809,62503.0,48.3545,31.0001,508.31,4.2285,24.27,0.414
1505908,40597.0,48.9273,29.9973,484.97,5.7684,15.17,4.8538
1506005,35577.0,52.0561,28.5381,451.71,4.9784,11.02,0.6627
1506104,10851.0,66.3718,23.4264,716.9,4.2553,11.39,1.4739
1506112,11524.0,83.747,23.2732,649.32,2.2607,16.65,3.3982
1506138,85597.0,95.3655,25.7708,1295.2,4.0085,7.84,10.1099
1506161,18384.0,75.99,24.4887,1039.0,2.8394,11.09,1.5224
1506187,53143.0,63.7356,26.3007,946.14,3.3421,14.91,3.4282
1506195,35769.0,60.4909,25.3683,731.95,4.7,14.35,0.4626
1506203,44772.0,91.8856,25.6321,875.11,4.67,7.66,10.3991
1506302,24129.0,73.8282,25.5543,723.4,6.9234,6.39,5.5202
1506351,21087.0,65.2724,23.5121,762.45,8.0362,7.07,2.926
1506401,7445.0,84.2176,30.8395,520.36,13.7667,7.44,15.6409
1506500,73019.0,80.349,27.4271,914.02,11.526,7.02,8.0918
1506559,20370.0,53.7653,26.3328,685.08,4.3622,15.85,0.808
1506583,16548.0,49.432,23.3563,1175.42,3.2193,12.39,1.8413
1506609,24624.0,69.3632,24.602,793.59,7.2044,15.16,7.8251
1506708,32413.0,79.6563,24.9252,1137.95,3.5266,10.31,7.5712
1506807,331942.0,79.6847,26.8523,1024.3,4.2465,4.24,11.1196
1506906,6116.0,31.2296,24.5749,743.73,15.8798,10.46,1.0199
1507003,27461.0,66.7019,23.9066,697.67,8.1535,8.73,1.953
1507102,16666.0,55.3822,23.5209,611.22,6.054,7.77,6.9732
1507151,21092.0,70.5955,25.422,922.63,3.4707,14.56,1.3676
1507201,30599.0,30.4258,27.4715,520.37,7.9676,15.06,1.028
1507300,65418.0,59.7909,25.519,980.71,3.1833,11.77,2.8124
1507409,14894.0,49.9664,23.1704,681.98,2.8482,10.06,13.1542
1507458,24255.0,69.8536,24.8897,852.58,4.4308,12.26,23.2914
1507466,4430.0,19.7743,22.1445,566.06,7.5829,8.64,11.4698
